dt,value
2103-11-25T04:12:18.242Z,
2103-11-25T04:13:18.25Z,
2103-11-25T04:14:18.258Z,
2103-11-25T04:15:18.266Z,
2103-11-25T04:16:18.274Z,
2103-11-25T04:17:18.282Z,
2103-11-25T04:18:18.29Z,
2103-11-25T04:19:18.298Z,
2103-11-25T04:20:18.306Z,
2103-11-25T04:21:18.314Z,
2103-11-25T04:22:18.322Z,
2103-11-25T04:23:18.33Z,
2103-11-25T04:24:18.338Z,
2103-11-25T04:25:18.346Z,
2103-11-25T04:26:18.354Z,
2103-11-25T04:27:18.362Z,
2103-11-25T04:28:18.37Z,
2103-11-25T04:29:18.378Z,
2103-11-25T04:30:18.386Z,
2103-11-25T04:31:18.394Z,
2103-11-25T04:32:18.402Z,
2103-11-25T04:33:18.41Z,
2103-11-25T04:34:18.418Z,
2103-11-25T04:35:18.426Z,
2103-11-25T04:36:18.434Z,
2103-11-25T04:37:18.442Z,
2103-11-25T04:38:18.45Z,
2103-11-25T04:39:18.458Z,
2103-11-25T04:40:18.466Z,
2103-11-25T04:41:18.474Z,
2103-11-25T04:42:18.482Z,
2103-11-25T04:43:18.49Z,
2103-11-25T04:44:18.498Z,
2103-11-25T04:45:18.506Z,
2103-11-25T04:46:18.514Z,
2103-11-25T04:47:18.522Z,
2103-11-25T04:48:18.53Z,
2103-11-25T04:49:18.538Z,
2103-11-25T04:50:18.546Z,
2103-11-25T04:51:18.554Z,
2103-11-25T04:52:18.562Z,
2103-11-25T04:53:18.57Z,
2103-11-25T04:54:18.578Z,
2103-11-25T04:55:18.586Z,
2103-11-25T04:56:18.594Z,
2103-11-25T04:57:18.602Z,
2103-11-25T04:58:18.61Z,
2103-11-25T04:59:18.618Z,
2103-11-25T05:00:18.626Z,
2103-11-25T05:01:18.634Z,
2103-11-25T05:02:18.642Z,
2103-11-25T05:03:18.65Z,
2103-11-25T05:04:18.658Z,
2103-11-25T05:05:18.666Z,
2103-11-25T05:06:18.674Z,
2103-11-25T05:07:18.682Z,
2103-11-25T05:08:18.69Z,
2103-11-25T05:09:18.698Z,
2103-11-25T05:10:18.706Z,
2103-11-25T05:11:18.714Z,
2103-11-25T05:12:18.722Z,
2103-11-25T05:13:18.73Z,
2103-11-25T05:14:18.738Z,
2103-11-25T05:15:18.746Z,
2103-11-25T05:16:18.754Z,
2103-11-25T05:17:18.762Z,
2103-11-25T05:18:18.77Z,
2103-11-25T05:19:18.778Z,
2103-11-25T05:20:18.786Z,
2103-11-25T05:21:18.794Z,
2103-11-25T05:22:18.802Z,
2103-11-25T05:23:18.81Z,
2103-11-25T05:24:18.818Z,
2103-11-25T05:25:18.826Z,
2103-11-25T05:26:18.834Z,
2103-11-25T05:27:18.842Z,
2103-11-25T05:28:18.85Z,
2103-11-25T05:29:18.858Z,
2103-11-25T05:30:18.866Z,
2103-11-25T05:31:18.874Z,
2103-11-25T05:32:18.882Z,
2103-11-25T05:33:18.89Z,
2103-11-25T05:34:18.898Z,
2103-11-25T05:35:18.906Z,
2103-11-25T05:36:18.914Z,
2103-11-25T05:37:18.922Z,
2103-11-25T05:38:18.93Z,
2103-11-25T05:39:18.938Z,
2103-11-25T05:40:18.946Z,
2103-11-25T05:41:18.954Z,
2103-11-25T05:42:18.962Z,
2103-11-25T05:43:18.97Z,
2103-11-25T05:44:18.978Z,
2103-11-25T05:45:18.986Z,
2103-11-25T05:46:18.994Z,
2103-11-25T05:47:19.002Z,
2103-11-25T05:48:19.01Z,
2103-11-25T05:49:19.018Z,
2103-11-25T05:50:19.026Z,
2103-11-25T05:51:19.034Z,
2103-11-25T05:52:19.042Z,
2103-11-25T05:53:19.05Z,
2103-11-25T05:54:19.058Z,
2103-11-25T05:55:19.066Z,
2103-11-25T05:56:19.074Z,
2103-11-25T05:57:19.082Z,
2103-11-25T05:58:19.09Z,
2103-11-25T05:59:19.098Z,
2103-11-25T06:00:19.106Z,
2103-11-25T06:01:19.114Z,
2103-11-25T06:02:19.122Z,
2103-11-25T06:03:19.13Z,
2103-11-25T06:04:19.138Z,
2103-11-25T06:05:19.146Z,
2103-11-25T06:06:19.154Z,
2103-11-25T06:07:19.162Z,
2103-11-25T06:08:19.17Z,
2103-11-25T06:09:19.178Z,
2103-11-25T06:10:19.186Z,
2103-11-25T06:11:19.194Z,
2103-11-25T06:12:19.202Z,
2103-11-25T06:13:19.21Z,
2103-11-25T06:14:19.218Z,
2103-11-25T06:15:19.226Z,
2103-11-25T06:16:19.234Z,
2103-11-25T06:17:19.242Z,
2103-11-25T06:18:19.25Z,
2103-11-25T06:19:19.258Z,
2103-11-25T06:20:19.266Z,
2103-11-25T06:21:19.274Z,
2103-11-25T06:22:19.282Z,
2103-11-25T06:23:19.29Z,
2103-11-25T06:24:19.298Z,
2103-11-25T06:25:19.306Z,
2103-11-25T06:26:19.314Z,
2103-11-25T06:27:19.322Z,
2103-11-25T06:28:19.33Z,
2103-11-25T06:29:19.338Z,
2103-11-25T06:30:19.346Z,
2103-11-25T06:31:19.354Z,
2103-11-25T06:32:19.362Z,
2103-11-25T06:33:19.37Z,
2103-11-25T06:34:19.378Z,
2103-11-25T06:35:19.386Z,
2103-11-25T06:36:19.394Z,
2103-11-25T06:37:19.402Z,
2103-11-25T06:38:19.41Z,
2103-11-25T06:39:19.418Z,
2103-11-25T06:40:19.426Z,
2103-11-25T06:41:19.434Z,
2103-11-25T06:42:19.442Z,
2103-11-25T06:43:19.45Z,
2103-11-25T06:44:19.458Z,
2103-11-25T06:45:19.466Z,
2103-11-25T06:46:19.474Z,
2103-11-25T06:47:19.482Z,
2103-11-25T06:48:19.49Z,
2103-11-25T06:49:19.498Z,
2103-11-25T06:50:19.506Z,
2103-11-25T06:51:19.514Z,
2103-11-25T06:52:19.522Z,
2103-11-25T06:53:19.53Z,
2103-11-25T06:54:19.538Z,
2103-11-25T06:55:19.546Z,
2103-11-25T06:56:19.554Z,
2103-11-25T06:57:19.562Z,
2103-11-25T06:58:19.57Z,
2103-11-25T06:59:19.578Z,
